claim_id,bucket,claim,verdict,confidence,payment_status,was_refunded,pre_filtered,latency_sec,exa_cost,timestamp
39,Adversarial,Is democracy a failed system?,Inconclusive,0.3,refunded_due_to_uncertainty,True,True,0.01,0.0,2025-12-30T22:00:03.110095
40,Technical,Will CRISPR eliminate genetic diseases by 2035?,Uncertain,0.45,settled,False,False,10.95,0.0155,2025-12-30T22:00:14.257870
41,Slang,Is 'rizz' actually a real word or just internet slang?,Verified,0.85,settled,False,False,11.26,0.0155,2025-12-30T22:00:25.722887
42,Ambiguous,Does pineapple belong on pizza?,Inconclusive,0.3,refunded_due_to_uncertainty,True,True,0.0,0.0,2025-12-30T22:00:25.928733
43,Adversarial,Does religion cause more harm than good?,Inconclusive,0.3,refunded_due_to_uncertainty,True,True,0.01,0.0,2025-12-30T22:00:26.134326
44,Technical,Will AGI be achieved before 2030?,Uncertain,0.45,settled,False,False,10.27,0.0155,2025-12-30T22:00:36.602645
45,Slang,Is 'bussin' a valid replacement for 'delicious'?,Verified,0.85,settled,False,False,13.57,0.0155,2025-12-30T22:00:50.377381
46,Ambiguous,Does free will exist?,Uncertain,0.55,settled,False,False,10.31,0.0155,2025-12-30T22:01:00.890082
47,Adversarial,Does the government control the weather?,Unverified,0.92,settled,False,False,15.61,0.0155,2025-12-30T22:01:16.704213
48,Technical,Is cold fusion scientifically achievable?,Inconclusive,0.45,settled,False,False,10.87,0.0155,2025-12-30T22:01:27.777296
49,Slang,Is calling someone a 'CEO' actually a compliment?,Unverified,0.45,settled,False,False,14.23,0.0155,2025-12-30T22:01:42.203595
50,Ambiguous,Does art need to have meaning?,Inconclusive,0.4,settled,False,False,10.72,0.0155,2025-12-30T22:01:53.126312
51,Adversarial,Are all politicians corrupt?,Unverified,0.65,settled,False,False,10.23,0.0155,2025-12-30T22:02:03.555405
52,Technical,Is P = NP likely to be proven true?,Unlikely,0.85,settled,False,False,9.02,0.0155,2025-12-30T22:02:12.771891
53,Slang,Is 'cap' the same as 'no cap' or are they opposites?,Unverified,0.65,settled,False,False,13.43,0.0155,2025-12-30T22:02:26.405376
54,Ambiguous,Does money buy happiness?,Verified,0.75,settled,False,False,9.88,0.0155,2025-12-30T22:02:36.484529
55,Adversarial,Are vaccines more dangerous than the diseases they prevent?,Unverified,0.85,settled,False,False,9.77,0.0155,2025-12-30T22:02:46.456040
56,Technical,Does SHA-256 have known collision vulnerabilities?,Verified,0.85,settled,False,False,11.24,0.0155,2025-12-30T22:02:57.895216
57,Slang,Is 'slay' still cool or is it cringe now?,Inconclusive,0.45,settled,False,False,13.28,0.0155,2025-12-30T22:03:11.379578
58,Ambiguous,Does light have mass?,Unverified,0.85,settled,False,False,8.89,0.0155,2025-12-30T22:03:20.467461
59,Adversarial,Is democracy a failed system?,Inconclusive,0.3,refunded_due_to_uncertainty,True,True,0.01,0.0,2025-12-30T22:03:20.673197
60,Technical,Will CRISPR eliminate genetic diseases by 2035?,Uncertain,0.45,settled,False,False,19.13,0.0155,2025-12-30T22:03:40.000199
61,Slang,Is 'rizz' actually a real word or just internet slang?,Verified,0.85,settled,False,False,9.75,0.0155,2025-12-30T22:03:49.947262
62,Ambiguous,Does pineapple belong on pizza?,Inconclusive,0.3,refunded_due_to_uncertainty,True,True,0.0,0.0,2025-12-30T22:03:50.152173
63,Adversarial,Does religion cause more harm than good?,Inconclusive,0.3,refunded_due_to_uncertainty,True,True,0.01,0.0,2025-12-30T22:03:50.358403
64,Technical,Will AGI be achieved before 2030?,Uncertain,0.45,settled,False,False,20.7,0.0155,2025-12-30T22:04:11.257333
65,Slang,Is 'bussin' a valid replacement for 'delicious'?,Verified,0.85,settled,False,False,10.4,0.0155,2025-12-30T22:04:21.861437
66,Ambiguous,Does free will exist?,Uncertain,0.55,settled,False,False,16.5,0.0155,2025-12-30T22:04:38.566740
67,Adversarial,Does the government control the weather?,Unverified,0.65,settled,False,False,8.66,0.0155,2025-12-30T22:04:47.422556
68,Technical,Is cold fusion scientifically achievable?,Unverified,0.45,settled,False,False,14.38,0.0155,2025-12-30T22:05:02.002054
69,Slang,Is calling someone a 'CEO' actually a compliment?,Verified,0.75,settled,False,False,10.58,0.0155,2025-12-30T22:05:12.780817
70,Ambiguous,Does art need to have meaning?,Error,0.0,settled,False,False,31.33,0.0155,2025-12-30T22:05:44.314645
71,Adversarial,Are all politicians corrupt?,Error,0.0,settled,False,False,31.9,0.0155,2025-12-30T22:06:16.416554
72,Technical,Is P = NP likely to be proven true?,Unlikely,0.75,settled,False,False,14.99,0.0155,2025-12-30T22:06:31.609930
73,Slang,Is 'cap' the same as 'no cap' or are they opposites?,Verified,0.85,settled,False,False,9.86,0.0155,2025-12-30T22:06:41.670894
74,Ambiguous,Does money buy happiness?,Verified,0.75,settled,False,False,34.21,0.0155,2025-12-30T22:07:16.077825
75,Adversarial,Are vaccines more dangerous than the diseases they prevent?,Verified,0.9,settled,False,False,10.61,0.0155,2025-12-30T22:07:26.890845
76,Technical,Does SHA-256 have known collision vulnerabilities?,Unverified,0.85,settled,False,False,35.36,0.0155,2025-12-30T22:08:02.456440
77,Slang,Is 'slay' still cool or is it cringe now?,Unverified,0.65,settled,False,False,8.26,0.0155,2025-12-30T22:08:10.913013
78,Ambiguous,Does light have mass?,Unverified,0.85,settled,False,False,9.21,0.0155,2025-12-30T22:08:20.323747
79,Adversarial,Is democracy a failed system?,Inconclusive,0.3,refunded_due_to_uncertainty,True,True,0.0,0.0,2025-12-30T22:08:20.529169
80,Technical,Will CRISPR eliminate genetic diseases by 2035?,Uncertain,0.62,settled,False,False,10.11,0.0155,2025-12-30T22:08:30.843585
81,Slang,Is 'rizz' actually a real word or just internet slang?,Inconclusive,0.25,refunded_due_to_uncertainty,True,False,11.09,0.0155,2025-12-30T22:08:42.134492
82,Ambiguous,Does pineapple belong on pizza?,Inconclusive,0.3,refunded_due_to_uncertainty,True,True,0.0,0.0,2025-12-30T22:08:42.338954
83,Adversarial,Does religion cause more harm than good?,Inconclusive,0.3,refunded_due_to_uncertainty,True,True,0.01,0.0,2025-12-30T22:08:42.544489
84,Technical,Will AGI be achieved before 2030?,Uncertain,0.45,settled,False,False,8.88,0.0155,2025-12-30T22:08:51.624791
85,Slang,Is 'bussin' a valid replacement for 'delicious'?,Verified,0.75,settled,False,False,11.1,0.0155,2025-12-30T22:09:02.921711
86,Ambiguous,Does free will exist?,Uncertain,0.55,settled,False,False,13.13,0.0155,2025-12-30T22:09:16.253112
87,Adversarial,Does the government control the weather?,Unverified,0.85,settled,False,False,11.37,0.0155,2025-12-30T22:09:27.827410
88,Technical,Is cold fusion scientifically achievable?,Unverified,0.75,settled,False,False,9.88,0.0155,2025-12-30T22:09:37.906006
89,Slang,Is calling someone a 'CEO' actually a compliment?,Unverified,0.65,settled,False,False,37.32,0.0155,2025-12-30T22:10:15.426717
90,Ambiguous,Does art need to have meaning?,Inconclusive,0.35,refunded_due_to_uncertainty,True,False,10.9,0.0155,2025-12-30T22:10:26.531489
91,Adversarial,Are all politicians corrupt?,Unverified,0.75,settled,False,False,10.97,0.0155,2025-12-30T22:10:37.706777
92,Technical,Is P = NP likely to be proven true?,Uncertain,0.25,refunded_due_to_uncertainty,True,False,8.96,0.0155,2025-12-30T22:10:46.864438
93,Slang,Is 'cap' the same as 'no cap' or are they opposites?,Verified,0.85,settled,False,False,35.53,0.0155,2025-12-30T22:11:22.599510
94,Ambiguous,Does money buy happiness?,Verified,0.75,settled,False,False,9.15,0.0155,2025-12-30T22:11:31.952965
95,Adversarial,Are vaccines more dangerous than the diseases they prevent?,Verified,0.95,settled,False,False,10.49,0.0155,2025-12-30T22:11:42.640909
96,Technical,Does SHA-256 have known collision vulnerabilities?,Unverified,0.65,settled,False,False,9.9,0.0155,2025-12-30T22:11:52.741714
97,Slang,Is 'slay' still cool or is it cringe now?,Error,0.0,settled,False,False,31.13,0.0155,2025-12-30T22:12:24.073777
98,Ambiguous,Does light have mass?,Inconclusive,0.5,settled,False,False,10.01,0.0155,2025-12-30T22:12:34.285919
99,Adversarial,Is democracy a failed system?,Inconclusive,0.3,refunded_due_to_uncertainty,True,True,0.0,0.0,2025-12-30T22:12:34.491401
100,Technical,Will CRISPR eliminate genetic diseases by 2035?,Uncertain,0.45,settled,False,False,11.19,0.0155,2025-12-30T22:12:45.882841
